Method,FGI,in_study,feature_combinations,Method
12,0.007,fractions_cscw,garch,lasso
4,0.0074,fractions_cscw,fft,lasso
23,0.0074,fractions_cscw,all,PCA
4,0.0077,fractions_cscw,saccade_duration,lasso
3,0.0077,fractions_cscw,heatmaps,PCA
2,0.0077,fractions_cscw,saccade_length,lasso
2,0.0077,fractions_cscw,heatmaps,lasso
22,0.0078,fractions_cscw,all,lasso
8,0.0078,fractions_cscw,markov,lasso
61,0.0081,emip_cscw,garch,PCA
8,0.0084,emip_fractions,fixation_duration,lasso
52,0.0089,emip_cscw,fft,lasso
60,0.009,emip_cscw,garch,lasso
